leagueID,date,home,away,favorite_gap,fg_source,fg_books,home_1h_cornerKicks,home_1h_yellowCards,home_1h_offsides,home_1h_shots_onGoal,home_1h_fouls,home_1h_shots,home_1h_points,home_1h_possessionPercent,home_2h_cornerKicks,home_2h_yellowCards,home_2h_offsides,home_2h_shots_onGoal,home_2h_fouls,home_2h_shots,home_2h_points,home_2h_possessionPercent,home_game_cornerKicks,home_game_yellowCards,home_game_offsides,home_game_shots_onGoal,home_game_fouls,home_game_shots,home_game_points,home_game_possessionPercent,away_1h_cornerKicks,away_1h_yellowCards,away_1h_offsides,away_1h_shots_onGoal,away_1h_fouls,away_1h_shots,away_1h_points,away_1h_possessionPercent,away_2h_cornerKicks,away_2h_yellowCards,away_2h_offsides,away_2h_shots_onGoal,away_2h_fouls,away_2h_shots,away_2h_points,away_2h_possessionPercent,away_game_cornerKicks,away_game_yellowCards,away_game_offsides,away_game_shots_onGoal,away_game_fouls,away_game_shots,away_game_points,away_game_possessionPercent
INTERNATIONAL_SOCCER,2026-06-05,HUN,FIN,0.7706,sgo_fairodds,1,,,,,,,2,,,,,,,,0,,,,,,,,2,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-05,AZE,MLT,-0.7944,sgo_fairodds,1,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,2,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-05,CAF,TOG,,none,0,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-05,BEN,NIG,0.7104,sgo_fairodds,1,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-05,ANG,MRT,0.4124,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-05,PAR,NCA,,none,0,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-05,PUR,KSA,-0.7819,sgo_fairodds,1,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,1,,,,,,,,2,,,,,,,,3,
INTERNATIONAL_SOCCER,2026-06-05,CAN,IRE,0.3141,sgo_fairodds,1,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-06,HAI,PER,0.0025,sgo_fairodds,1,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,0,,,,,,,,2,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-06,VAN,FIJ,,none,0,,,,,,,0,,,,,,,,2,,,,,,,,2,,,,,,,,0,,,,,,,,1,,,,,,,,1,
